1 = STABLE_STATE, 0 = EXCITED_STATE
Step	 X 	 Y 	 d 	 state 
487	0.5551	-1.1839	1.3076	0
488	0.3121	-1.6210	1.6507	0
489	0.7689	-1.8242	1.9797	0
490	0.7689	-1.8242	1.9797	0
491	0.7689	-1.8242	1.9797	0
492	0.7689	-1.8242	1.9797	0
493	1.1452	-1.4949	1.8831	0
494	0.7581	-1.1783	1.4012	0
495	0.3376	-1.4488	1.4876	0
496	-0.1456	-1.5774	1.5841	0
497	-0.1456	-1.5774	1.5841	0
498	0.3524	-1.5328	1.5728	0
499	0.7949	-1.7657	1.9364	0
500	0.7949	-1.7657	1.9364	0
501	0.7949	-1.7657	1.9364	0
502	1.1449	-1.4086	1.8151	0
503	1.1449	-1.4086	1.8151	0
504	1.1449	-1.4086	1.8151	0
505	0.8008	-1.7714	1.9440	0
506	0.8008	-1.7714	1.9440	0
507	0.8008	-1.7714	1.9440	0
508	0.8008	-1.7714	1.9440	0
509	0.8008	-1.7714	1.9440	0
510	1.0206	-1.3222	1.6703	0
511	0.6713	-0.9645	1.1751	0
512	0.2692	-1.2617	1.2901	0
513	-0.1997	-1.0881	1.1062	0
514	-0.6728	-0.9265	1.1451	0
515	-1.1493	-1.0783	1.5759	0
516	-1.5706	-0.8090	1.7667	0
517	-1.5706	-0.8090	1.7667	0
518	-1.5706	-0.8090	1.7667	0
519	-1.0706	-0.8130	1.3443	0
520	-1.2230	-0.3368	1.2685	0
521	-1.1611	0.1593	1.1720	0
522	-1.5815	-0.1113	1.5855	0
523	-1.0878	-0.1900	1.1042	0
524	-0.9142	0.2790	0.9559	0
525	-1.1731	-0.1488	1.1825	0
526	-1.1731	-0.1488	1.1825	0
527	-1.1731	-0.1488	1.1825	0
528	-1.6400	-0.3277	1.6724	0
529	-1.6536	0.1721	1.6625	0
530	-1.6536	0.1721	1.6625	0
531	-1.7608	-0.3163	1.7890	0
532	-1.2637	-0.3703	1.3169	0
533	-1.2624	0.1297	1.2690	0
534	-1.6878	0.3924	1.7328	0
535	-1.6878	0.3924	1.7328	0
536	-1.6965	-0.1075	1.6999	0
537	-1.8694	-0.5766	1.9564	0
538	-1.8694	-0.5766	1.9564	0
539	-1.5958	-0.1582	1.6036	0
540	-1.5958	-0.1582	1.6036	0
541	-1.5958	-0.1582	1.6036	0
542	-1.1650	-0.4120	1.2357	0
543	-1.3044	-0.8922	1.5803	0
544	-0.8098	-0.8189	1.1517	0
545	-0.6845	-0.3349	0.7620	0
546	-1.0388	-0.6877	1.2458	0
547	-1.5360	-0.6352	1.6622	0
548	-1.8687	-0.2619	1.8870	0
549	-1.5611	0.1323	1.5667	0
550	-1.1394	-0.1364	1.1475	0
551	-1.6280	-0.0303	1.6283	0
552	-1.6280	-0.0303	1.6283	0
553	-1.6280	-0.0303	1.6283	0
554	-1.4506	-0.4978	1.5336	0
555	-1.4506	-0.4978	1.5336	0
556	-1.0658	-0.1785	1.0806	0
557	-1.5285	-0.3680	1.5722	0
558	-1.2847	0.0686	1.2865	0
559	-1.2847	0.0686	1.2865	0
560	-1.0456	0.5077	1.1623	0
561	-0.5832	0.6981	0.9097	0
562	-0.8247	0.2602	0.8648	0
563	-0.8408	0.7600	1.1334	0
564	-0.8408	0.7600	1.1334	0
565	-1.2134	0.4266	1.2862	0
566	-0.7690	0.1974	0.7940	0
567	-0.2991	0.0266	0.3003	1
568	-0.7754	0.1788	0.7957	0
569	-1.1370	0.5241	1.2520	0
570	-1.1370	0.5241	1.2520	0
571	-1.1914	0.0270	1.1917	0
572	-1.1914	0.0270	1.1917	0
573	-0.7902	-0.2713	0.8355	0
574	-0.5533	0.1690	0.5785	1
575	-0.2755	0.5847	0.6464	1
576	-0.0516	0.1376	0.1470	1
577	-0.0516	0.1376	0.1470	1
578	-0.0516	0.1376	0.1470	1
579	0.2353	0.5471	0.5956	1
580	0.4651	0.9912	1.0949	0
581	0.0577	1.2812	1.2825	0
582	-0.2936	0.9254	0.9709	0
583	-0.4902	0.4657	0.6762	1
584	-0.5520	-0.0305	0.5529	1
585	-0.7244	-0.4998	0.8801	0
586	-0.7960	-0.9946	1.2740	0
587	-1.0924	-1.3973	1.7737	0
588	-1.0924	-1.3973	1.7737	0
589	-0.6500	-1.1644	1.3335	0
590	-0.6500	-1.1644	1.3335	0
591	-0.7353	-0.6717	0.9959	0
592	-0.3016	-0.4228	0.5194	1
593	-0.6761	-0.7541	1.0128	0
594	-0.3113	-1.0961	1.1394	0
595	-0.8108	-1.1202	1.3828	0
596	-0.8108	-1.1202	1.3828	0
597	-0.3614	-0.9009	0.9707	0
598	0.0543	-1.1788	1.1800	0
599	0.0543	-1.1788	1.1800	0
600	0.4530	-1.4805	1.5482	0
601	0.9256	-1.6436	1.8863	0
