Simulated by ISING, VERSION 1
filename = result_of_ISING_0.7
step = 1500000
mutual_coefficient = 1
temperature = 0.7
STEP	MAGNETISM	ENERGY	1ST_STD_ERROR	2ND_STD_ERROR
381	4594	-5561	0	0
382	4594	-5561	0	0
383	4594	-5561	0	0
384	4592	-5563	0	0
385	4592	-5563	0	0
386	4590	-5565	0	0
387	4590	-5565	0	0
388	4590	-5565	0	0
389	4590	-5565	0	0
390	4588	-5569	0	0
391	4586	-5571	0	0
392	4586	-5571	0	0
393	4586	-5571	0	0
394	4586	-5571	0	0
395	4586	-5571	0	0
396	4584	-5575	0	0
397	4584	-5575	0	0
398	4582	-5583	0	0
399	4580	-5583	0	0
400	4578	-5585	0	0
401	4578	-5585	0	0
402	4576	-5583	0	0
403	4574	-5587	0	0
404	4574	-5587	0	0
405	4572	-5587	0	0
406	4570	-5591	0	0
407	4568	-5595	0	0
408	4568	-5595	0	0
409	4568	-5595	0	0
410	4566	-5595	0	0
411	4566	-5595	0	0
412	4566	-5595	0	0
413	4564	-5599	0	0
414	4562	-5601	0	0
415	4560	-5605	0	0
416	4560	-5605	0	0
417	4560	-5605	0	0
418	4560	-5605	0	0
419	4560	-5605	0	0
420	4558	-5611	0	0
421	4556	-5615	0	0
422	4554	-5619	0	0
423	4554	-5619	0	0
424	4554	-5619	0	0
425	4554	-5619	0	0
426	4554	-5619	0	0
427	4552	-5623	0	0
428	4552	-5623	0	0
429	4552	-5623	0	0
430	4552	-5623	0	0
431	4552	-5623	0	0
432	4550	-5623	0	0
433	4548	-5627	0	0
434	4548	-5627	0	0
435	4546	-5631	0	0
436	4546	-5631	0	0
437	4546	-5631	0	0
438	4546	-5631	0	0
439	4544	-5637	0	0
440	4542	-5643	0	0
441	4542	-5643	0	0
442	4542	-5643	0	0
443	4542	-5643	0	0
444	4540	-5647	0	0
445	4538	-5649	0	0
446	4538	-5649	0	0
447	4536	-5653	0	0
448	4534	-5655	0	0
449	4532	-5657	0	0
450	4530	-5661	0	0
451	4530	-5661	0	0
452	4528	-5667	0	0
453	4526	-5669	0	0
454	4524	-5669	0	0
455	4522	-5673	0	0
456	4520	-5675	0	0
457	4518	-5677	0	0
458	4516	-5681	0	0
459	4516	-5681	0	0
460	4516	-5681	0	0
461	4516	-5681	0	0
462	4516	-5681	0	0
463	4516	-5681	0	0
464	4514	-5689	0	0
465	4514	-5689	0	0
466	4512	-5693	0	0
467	4512	-5693	0	0
468	4512	-5693	0	0
469	4510	-5695	0	0
470	4508	-5701	0	0
471	4508	-5701	0	0
472	4508	-5701	0	0
473	4506	-5707	0	0
474	4506	-5707	0	0
475	4506	-5707	0	0
476	4506	-5707	0	0
477	4504	-5709	0	0
478	4504	-5709	0	0
479	4504	-5709	0	0
480	4502	-5711	0	0
481	4502	-5711	0	0
482	4500	-5717	0	0
483	4500	-5717	0	0
484	4498	-5723	0	0
485	4496	-5729	0	0
486	4494	-5731	0	0
487	4492	-5735	0	0
488	4492	-5735	0	0
489	4490	-5739	0	0
490	4488	-5741	0	0
491	4486	-5745	0	0
492	4486	-5745	0	0
493	4486	-5745	0	0
494	4486	-5745	0	0
495	4486	-5745	0	0
496	4486	-5745	0	0
497	4484	-5745	0	0
498	4484	-5745	0	0
499	4484	-5745	0	0
500	4482	-5747	0	0
501	4480	-5751	0	0
502	4478	-5759	0	0
503	4476	-5761	0	0
504	4474	-5767	0	0
505	4472	-5773	0	0
506	4470	-5777	0	0
507	4470	-5777	0	0
508	4468	-5779	0	0
509	4466	-5781	0	0
510	4466	-5781	0	0
511	4466	-5781	0	0
512	4464	-5783	0	0
513	4462	-5783	0	0
514	4460	-5789	0	0
515	4458	-5793	0	0
516	4458	-5793	0	0
517	4456	-5797	0	0
518	4456	-5797	0	0
519	4456	-5797	0	0
520	4454	-5799	0	0
521	4454	-5799	0	0
522	4454	-5799	0	0
523	4454	-5799	0	0
524	4452	-5805	0	0
525	4452	-5805	0	0
526	4452	-5805	0	0
527	4450	-5805	0	0
528	4448	-5811	0	0
529	4448	-5811	0	0
530	4446	-5811	0	0
531	4444	-5811	0	0
532	4444	-5811	0	0
533	4444	-5811	0	0
534	4444	-5811	0	0
535	4444	-5811	0	0
536	4444	-5811	0	0
537	4444	-5811	0	0
538	4444	-5811	0	0
539	4442	-5817	0	0
540	4440	-5819	0	0
541	4438	-5823	0	0
542	4438	-5823	0	0
543	4436	-5827	0	0
544	4436	-5827	0	0
545	4436	-5827	0	0
546	4434	-5831	0	0
547	4434	-5831	0	0
548	4434	-5831	0	0
549	4434	-5831	0	0
550	4432	-5831	0	0
551	4432	-5831	0	0
552	4432	-5831	0	0
553	4432	-5831	0	0
554	4432	-5831	0	0
555	4430	-5833	0	0
556	4430	-5833	0	0
557	4428	-5839	0	0
558	4426	-5841	0	0
559	4424	-5843	0	0
560	4422	-5851	0	0
561	4422	-5851	0	0
562	4420	-5853	0	0
563	4420	-5853	0	0
564	4418	-5853	0	0
565	4418	-5853	0	0
